report_date,code,name,rule_id,action,entry_low,entry_high,target,stop_loss,entry_date,actual_entry_price,exit_price,close_reason,close_date,pnl_pct,pnl_twd,days_watched,confidence
20260514,5347,VANGUARD INTERNATIONAL SEMICOND,功率半導體需求驅動漲價潮,觀察買進,168,175,186,148,20260515,175.0,166.0,still_open,,-5.14,-5143.0,1,0.83
20260514,2330,台積電,高通AI基礎建設需求爆發帶動供應鏈,觀察買進,2180,2225,2345,2100,20260518,2225.0,2300.0,still_open,,3.37,3371.0,2,0.8
20260514,2317,鴻海,美中貿易脆弱休戰談判,停看等,230,255,258,225,20260515,249.0,258.0,triggered_target,20260515,3.61,3614.0,1,0.85
20260514,4938,和碩,Trump全球關稅政策衝擊出口,觀察賣出,81,83,76,87,20260522,81.0,82.0999984741211,still_open,,-1.36,-1358.0,6,0.8
20260514,3231,緯創,Trump全球關稅政策衝擊出口,觀察賣出,140,143,132,150,20260515,140.0,132.0,triggered_target,20260518,5.71,5714.0,1,0.8
20260514,2382,廣達,Trump全球關稅政策衝擊出口,觀察賣出,340,348,330,355,,,,not_triggered,,,,9,0.8
20260514,3008,大立光,Trump全球關稅政策衝擊出口,觀察賣出,2850,2950,2780,3140,,,,not_triggered,,,,9,0.8
20260514,2357,華碩,Trump全球關稅政策衝擊出口,觀察賣出,660,672,620,702,20260515,672.0,702.0,triggered_stop,20260525,-4.46,-4464.0,1,0.8
20260517,3008,大立光,Trump全球關稅政策衝擊出口,觀察賣出,3400,3445,3000,3520,20260518,3400.0,3520.0,triggered_stop,20260519,-3.53,-3529.0,1,0.82
20260514,2303,聯電,美中貿易脆弱休戰談判,停看等,83,100,108,80,,,,not_triggered,,,,9,0.85
20260517,2330,台積電,投信增持台積電觸發中小型股籌碼流出,停看等,2190,2250,2345,2020,20260518,2225.0,2300.0,still_open,,3.37,3371.0,1,0.88
20260517,2327,國巨*,被動元件全品類漲價聯動擴散,觀察買進,425,445,492,418,,,,not_triggered,,,,8,0.92
20260517,2492,華新科,被動元件全品類漲價聯動擴散,觀察買進,194,205,222,190,,,,not_triggered,,,,8,0.92
20260517,2472,立隆電,被動元件全品類漲價聯動擴散,觀察買進,193,210,256,189,,,,not_triggered,,,,8,0.92
20260517,5347,世界,功率半導體需求驅動漲價潮,觀察買進,170,177,185,167,20260525,170.0,167.0,triggered_stop,20260525,-1.76,-1765.0,6,0.87
20260517,6690,安碁資訊,鋁電容日系大廠退出供應缺口漲價,觀察買進,163,168,176,160,20260518,167.5,169.5,still_open,,1.19,1194.0,1,0.88
20260517,2317,鴻海,Trump全球關稅政策衝擊出口,觀察賣出,252,260,232,264,20260519,252.0,264.0,triggered_stop,20260527,-4.76,-4762.0,2,0.82
20260517,4938,和碩,Trump全球關稅政策衝擊出口,觀察賣出,79,82,75,84,20260521,79.0,82.0999984741211,still_open,,-3.92,-3924.0,4,0.82
20260517,3231,緯創,Trump全球關稅政策衝擊出口,觀察賣出,137,141,132,143,20260521,137.0,143.0,triggered_stop,20260522,-4.38,-4380.0,4,0.82
20260517,2382,廣達,Trump全球關稅政策衝擊出口,觀察賣出,320,333,305,338,20260525,322.0,312.0,still_open,,3.11,3106.0,6,0.82
20260517,2357,華碩,Trump全球關稅政策衝擊出口,觀察賣出,655,670,620,705,20260521,655.0,705.0,triggered_stop,20260525,-7.63,-7634.0,4,0.82
20260519,4938,和碩,Trump全球關稅政策衝擊出口,觀察賣出,78,80.5,76,83,20260521,78.0,83.0,triggered_stop,20260527,-6.41,-6410.0,2,0.78
20260519,3008,大立光,Trump全球關稅政策衝擊出口,觀察賣出,3350,3450,3150,3500,20260520,3350.0,3500.0,triggered_stop,20260521,-4.48,-4478.0,1,0.78
20260519,2357,華碩,Trump全球關稅政策衝擊出口,觀察賣出,645,655,610,665,20260520,645.0,665.0,triggered_stop,20260522,-3.1,-3101.0,1,0.78
20260514,6182,WAFER WORKS CORPORATION,矽晶圓業者全球同步轉強,觀察買進,55,58,62,44,20260515,58.0,62.0,triggered_target,20260521,6.9,6897.0,1,0.8
20260519,2327,國巨*,Vera Rubin換代觸發被動元件超缺,觀察買進,467,480,516,450,,,,not_triggered,,,,6,0.93
20260519,2492,華新科,Vera Rubin換代觸發被動元件超缺,觀察買進,210,215,222.5,204,,,,not_triggered,,,,6,0.93
20260519,2472,立隆電,Vera Rubin換代觸發被動元件超缺,觀察買進,228,233,256,222,20260520,233.0,256.0,triggered_target,20260521,9.87,9871.0,1,0.93
20260519,6690,安碁資訊,鋁電容日系大廠退出供應缺口漲價,觀察買進,165,169,176.5,161,20260520,168.0,169.5,still_open,,0.89,893.0,1,0.88
20260519,5347,世界,功率半導體需求驅動漲價潮,觀察買進,155,160,185.5,149,20260520,160.0,166.0,still_open,,3.75,3750.0,1,0.87
20260519,2330,台積電,投信增持台積電觸發中小型股籌碼流出,停看等,2200,2220,2345,2180,20260520,2205.0,2300.0,still_open,,4.31,4308.0,1,0.85
20260519,2317,鴻海,Trump全球關稅政策衝擊出口,觀察賣出,255,260,237,263,20260525,255.0,263.0,triggered_stop,20260525,-3.14,-3137.0,4,0.78
20260519,3231,緯創,Trump全球關稅政策衝擊出口,觀察賣出,137,141,132,144,20260521,137.0,144.0,triggered_stop,20260522,-5.11,-5109.0,2,0.78
20260519,2382,廣達,Trump全球關稅政策衝擊出口,觀察賣出,310,316,290,321,20260521,310.0,321.0,triggered_stop,20260525,-3.55,-3548.0,2,0.78
20260519,2303,聯電,美中貿易脆弱休戰談判,停看等,105,109,120.5,100,20260520,109.0,120.5,triggered_target,20260525,10.55,10550.0,1,0.7
20260520,2317,鴻海,Trump全球關稅政策衝擊出口,觀察賣出,245,250,235,263,20260521,245.0,263.0,triggered_stop,20260525,-7.35,-7347.0,1,0.88
20260520,4938,和碩,Trump全球關稅政策衝擊出口,觀察賣出,77,81,72,84,20260521,78.0,82.0999984741211,still_open,,-5.26,-5256.0,1,0.88
20260520,3231,緯創,Trump全球關稅政策衝擊出口,觀察賣出,133,137,128,143,20260521,134.5,143.0,triggered_stop,20260522,-6.32,-6320.0,1,0.88
20260520,2382,廣達,Trump全球關稅政策衝擊出口,觀察賣出,290,300,278,312,20260521,296.0,312.0,triggered_stop,20260521,-5.41,-5405.0,1,0.88
20260520,3008,大立光,Trump全球關稅政策衝擊出口,觀察賣出,3350,3430,3220,3650,20260521,3350.0,3650.0,triggered_stop,20260525,-8.96,-8955.0,1,0.88
20260520,2357,華碩,Trump全球關稅政策衝擊出口,觀察賣出,642,652,618,705,20260521,652.0,705.0,triggered_stop,20260525,-8.13,-8129.0,1,0.88
20260520,2327,國巨*,Vera Rubin換代觸發被動元件超缺,觀察買進,480,490,545,465,,,,not_triggered,,,,5,0.92
20260520,2492,華新科,Vera Rubin換代觸發被動元件超缺,觀察買進,215,221,242,207,,,,not_triggered,,,,5,0.92
20260520,2472,立隆電,Vera Rubin換代觸發被動元件超缺,觀察買進,225,232,256,218,,,,not_triggered,,,,5,0.92
20260520,5347,世界,功率半導體需求驅動漲價潮,觀察買進,157,162,185,150,20260521,162.0,166.0,still_open,,2.47,2469.0,1,0.85
20260520,2330,台積電,投信增持台積電觸發中小型股籌碼流出,停看等,2150,2220,2345,2100,,,,not_triggered,,,,5,0.82
20260520,2303,聯電,美中貿易脆弱休戰談判,停看等,108,113,120,104,20260521,112.5,120.0,triggered_target,20260525,6.67,6667.0,1,0.7
20260521,2472,立隆電,被動元件全品類漲價聯動擴散,觀察買進,248,260,272,240,20260522,260.0,272.0,triggered_target,20260525,4.62,4615.0,1,0.92
20260521,2382,廣達,美法院裁定Trump全球關稅違法,觀察買進,302,312,352,295,20260522,310.0,312.0,still_open,,0.65,645.0,1,0.88
20260521,4938,和碩,Trump全球關稅政策衝擊出口,觀察賣出,79,81,76,86,20260522,79.1,82.0999984741211,still_open,,-3.79,-3793.0,1,0.78
20260521,3231,緯創,Trump全球關稅政策衝擊出口,觀察賣出,139,142,132,150,20260522,142.0,150.0,triggered_stop,20260525,-5.63,-5634.0,1,0.78
20260521,3008,大立光,Trump全球關稅政策衝擊出口,觀察賣出,3450,3520,3300,3620,20260522,3450.0,3620.0,triggered_stop,20260525,-4.93,-4928.0,1,0.78
20260521,2357,華碩,Trump全球關稅政策衝擊出口,觀察賣出,650,668,631,702,20260522,656.0,702.0,triggered_stop,20260525,-7.01,-7012.0,1,0.78
20260521,2303,聯電,美中貿易脆弱休戰談判,觀察賣出,114,119,112,121,20260522,119.0,121.0,triggered_stop,20260525,-1.68,-1681.0,1,0.65
20260522,2317,鴻海,Trump全球關稅政策衝擊出口,觀察賣出,247,255,240,263,20260525,255.0,263.0,triggered_stop,20260525,-3.14,-3137.0,1,0.85
20260522,4938,和碩,Trump全球關稅政策衝擊出口,觀察賣出,79,82,76,86,20260525,81.7,82.0999984741211,still_open,,-0.49,-490.0,1,0.85
20260522,3231,緯創,Trump全球關稅政策衝擊出口,觀察賣出,139,143,132,151,,,,not_triggered,,,,3,0.85
20260522,2382,廣達,Trump全球關稅政策衝擊出口,觀察賣出,315,325,289,355,20260525,322.0,312.0,still_open,,3.11,3106.0,1,0.85
20260522,3008,大立光,Trump全球關稅政策衝擊出口,觀察賣出,3380,3480,3200,3650,,,,not_triggered,,,,3,0.85
20260522,2357,華碩,Trump全球關稅政策衝擊出口,觀察賣出,650,668,630,705,,,,not_triggered,,,,3,0.85
20260524,4938,和碩,Trump全球關稅政策衝擊出口,觀察賣出,80,82,76,86,20260525,81.7,82.0999984741211,still_open,,-0.49,-490.0,1,0.86
20260524,3231,緯創,Trump全球關稅政策衝擊出口,觀察賣出,144,148,135,150,20260525,148.0,150.0,triggered_stop,20260525,-1.35,-1351.0,1,0.86
20260524,3008,大立光,Trump全球關稅政策衝擊出口,觀察賣出,3540,3600,3371,3650,20260527,3600.0,3650.0,triggered_stop,20260527,-1.39,-1389.0,3,0.86
20260524,2357,華碩,Trump全球關稅政策衝擊出口,觀察賣出,680,698,650,705,20260525,692.0,705.0,triggered_stop,20260525,-1.88,-1879.0,1,0.86
20260523,4938,和碩,Trump全球關稅政策衝擊出口,觀察賣出,78.3,80.7,76.7,84.7,20260526,80.7,82.0999984741211,still_open,,-1.73,-1735.0,2,0.8
20260523,3231,緯創,Trump全球關稅政策衝擊出口,觀察賣出,140.2,144.5,137.3,151.7,20260527,144.5,145.0,still_open,,-0.35,-346.0,3,0.8
20260523,2382,廣達,Trump全球關稅政策衝擊出口,觀察賣出,306.5,316.0,300.2,331.8,20260527,316.0,312.0,still_open,,1.27,1266.0,3,0.8
20260523,3008,大立光,Trump全球關稅政策衝擊出口,觀察賣出,3433.8,3540.0,3363.0,3717.0,20260527,3540.0,3717.0,triggered_stop,20260527,-5.0,-5000.0,3,0.8
20260523,2357,華碩,Trump全球關稅政策衝擊出口,觀察賣出,661.5,682.0,647.9,716.1,,,,not_triggered,,,,3,0.8
20260514,6488,GLOBALWAFERS CO LTD,矽晶圓業者全球同步轉強,觀察買進,775,795,849,635,20260515,795.0,635.0,triggered_stop,20260520,-20.13,-20126.0,1,0.8
20260514,3016,嘉晶,矽晶圓業者全球同步轉強,觀察買進,118,123,131,88,20260515,123.0,131.0,triggered_target,20260525,6.5,6504.0,1,0.8
20260521,2317,鴻海,美法院裁定Trump全球關稅違法,觀察買進,240,248,260,218,20260522,248.0,260.0,triggered_target,20260525,4.84,4839.0,1,0.88
20260522,2472,立隆電,被動元件全品類漲價聯動擴散,觀察買進,248,260,272,208,20260525,260.0,272.0,triggered_target,20260525,4.62,4615.0,1,0.92
20260523,2472,立隆電,被動元件全品類漲價聯動擴散,觀察買進,252.2,260.0,273.0,247.0,20260525,260.0,273.0,triggered_target,20260525,5.0,5000.0,1,0.93
20260523,2454,聯發科,Google TPU聯發科搶入AI客製晶片設計,觀察買進,3744.2,3860.0,4053.0,3667.0,,,,not_triggered,,,,3,0.88
20260523,2303,聯電,美中貿易脆弱休戰談判,停看等,110.6,114.0,119.7,108.3,20260525,114.0,119.7,triggered_target,20260525,5.0,5000.0,1,0.7
